name,set,rarity,id,tribe,courage,power,wisdom,speed,energy,mugic,elements,types,ability,flavor,brainwashed,unique,loyal,legendary,image,thumb,splash,artist,tages,gender,exclusive
Nebres,OP1,Common,1,OverWorld,70,80,45,50,50,0,,Warrior,Support: Power 5,"As the three-time reigning champion of the Perim Battle Royal, Nebres is one of the few OverWorlders who has earned the respect of all tribes, even the UnderWorlders.",,,,,1WxK4kre7OZNn_z9o2vxzNNwT4-r9EwFc,1NPvDfvII-bCLap9cmegsdu9S3jUWV9x-,1Aabi7DwtSTgm3nqtLV3LnLb5ldjr2ETO,,,Male,
Akkerbal,FUN,Uncommon,2,OverWorld,60,30,75,55,45,1,Earth,Guardian,"While you control a Mipedian, the first attack against Akkerbal each combat deals 0 damage.",The M'arrillians were confused why Akkerbal hated them so much. Don't cactuses like water?,,,,,1yOIqVELCoa9htUC6JpLGePDvmZJ4-PrH,1WYZxJkjc6sRp-wzhBqiGf09_rxQwG6sG,,,,Male,
Akkrean,MI,Rare,2,OverWorld,40,40,70,45,35,2,Air,Guardian Muge,{{MC}}: Deal 10 damage to target Creature on your side of the Battleboard.,"Rarely to enemies enter his lands, and almost never do they leave unscathed.",,,,,0B6oyUfwoM3u1dTdRYzZYYkhKRms,1jl7ojwSRxmzLrlqoyMuOGJdMRTqQVryL,1FFw69qhOpWF15KqAx06z-Y2UYbFZ7Quz,,,Male,
Arrthoa,ROTO,Rare,2,OverWorld,65,50,65,60,60,0,Fire,Minion Scout,"While an opposing Creature has Water, Arrthoa has ""Range"" and ""Swift 1.""",,"While an opposing Creature has Swift, Arrthoa has ""Defender.""",,,,0B6oyUfwoM3u1YkpBemw0bGtfMlk,1Lblxy3fWshvhikkkRkcmK8_dRka0uCeY,,,,Male,
Attacat,DOP,Uncommon,2,OverWorld,30,65,60,105,50,0,,Guardian Warrior,Swift 1,"""A ferocious warrior – when he finally gets up the nerve to battle.” – Intress",,,,,0B6oyUfwoM3u1VjlFUS1UdXp2Zzg,19GmvsjGVwQR8piKOLU6rDa1huIWWXZ80,0B6oyUfwoM3u1UDRsRWx5Y1VXN2c,,,Male,
Clodor,SS,Common,2,OverWorld,40,55,95,35,50,0,,Warrior,"When Clodor wins a Wisdom Challenge on an attack it plays, it gains a Mugic counter.","Without the harness, Clodor's unstable spark would have exploded and destroyed Perim long ago.",,,,,0B6oyUfwoM3u1bmhTa1Y0T3liS00,1325tFRX_HSkXe3-BoY1OLo22VXeT2SC3,1zrMW8-2iJr73ciASpZ70QSEoog678Gk6,,,"Ambiguous, Male",
Garv,ZOTH,Rare,2,OverWorld,50,25,75,30,55,2,,Caretaker,{{MC}}: Flip target Battlegear face-up or face-down.,Speaker of a thousand languages - from bird to bacteria - the bulbous monk wanders the land and watches life flourish with every step.,,1,,,0B6oyUfwoM3u1NXJmTWgwX0d2eG8,1r1H_spHmq7I6duFF-eT9Iq_OZcwP87DE,0B90YZmNLvXOyRTduekJRaUhUNnM,,,Male,
"Intress, Natureforce",TOTT,Ultra Rare,2,OverWorld,95,65,90,70,55,2,"Earth, Water",Elementalist,{{MC}}: Creatures you control gain 5 Energy for each Elemental Type they have.,"""Despite our differences, since the Cothica flows through each of us, we are all united."" 
—Intress",,1,1,,0B6oyUfwoM3u1MnZRZG9EOVBoTGs,1iZpsL7p7yHfMFMdmm38rd7UlBe4C7LvE,1-U6Pfcrk2sB660lkQfQ1l2meWs60N8d9,,,Female,
"Mommark, Clonemaster",LR,Ultra Rare,2,OverWorld,45,30,85,85,40,2,Water,Muge,"At the beginning of your turn, Mommark gains a Mugic counter.
When another Creature you control is defeated, remove all Mugic counters from Mommark. If you have removed 5 or more Mugic counters this way, return that Creature to play in an unoccupied space with no Mugic counters.",,,1,1,,1k9_ZVRLkyuywiexRzv-WoU1KAp4Q-uGt,1H6mMerwbduRSlhV_ptYHp6E_F4iTSmoy,,,,Male,Online
Neffa,OP1,Common,2,OverWorld,50,25,80,35,40,2,,Strategist,Support: Wisdom 5,"No matter how many times he recalculated the ancient equations, the solution always added up to seven.",,,,,1U5fBuTxJSfoSnRo_Ys6Er_y9dRYOlQ4P,1R-3aOY9pCBtyjdMbWVWBjZL3lj7y9rmh,1QJLO_ubBWRSxOLJ16PQmbUWJKsdWIyGF,,,Male,
Proboscar,AU,Super Rare,2,Generic,50,65,25,85,65,0,,Past Beast,"Proboscar may move into any unoccupied space as if it were adjacent.
If Proboscar would move into an opposing Creature's space, it relocates that opposing Creature into Proboscar's space instead.",,,,,,19G1bN6PhvfOOc4vDK8v8aQ42SzEWSyHk,1rtLgHGkdugY7r5WD5wIo0Si9HarJ5cAC,,,,Ambiguous,Starter
Raimusa,DOP,Promo,2,OverWorld,60,60,40,45,50,1,"Earth, Water",Warrior,,The vicious winds of the Crystal Range slash the flesh but sharpen the soul.,,,,,0B6oyUfwoM3u1bFBlU1ByVmJnZ1k,1MgJS0rZ4uAlvjtqvxV_JlqdMFGs0vMQW,,,,Male,
"Attacat, Tactical Aid",ROTO,Common,3,OverWorld,60,35,55,100,55,1,"Earth, Water",Strategist Minion,"{{MC}}: Heal 10 damage to target adjacent OverWorld Creature.
Swift 2",,"{{MC}}: Heal 10 damage to target adjacent M'arrillian Creature.
Range, Swift 1",,,,0B6oyUfwoM3u1VEEtV2tCZndzLVk,1S6dlmLLaKul_B8R2j9lp_zqDa-pEVL9P,1lPT_r31SG2Z44Ng5ws_bLstV3gH105ON,,,Male,
Blazier,DOP,Super Rare,3,OverWorld,35,40,60,25,40,2,Earth,Scout,{{MC}}: Look at the top two cards of target player's Location Deck. Put one of them on top of that deck and the other on the bottom.,"This small, scrappy spy maps enemy territory for the OverWorld’s warriors.",,,,,0B6oyUfwoM3u1NWRUTTJZa2RnQ1E,1WXILeNe9nPXmLIcWs1P1KwcU-fpUjKXs,0B90YZmNLvXOyT1VyNFdVQS1hMHc,,,Male,Starter
"Blügon, Winter Warrior",FUN,Super Rare,3,OverWorld,60,40,75,45,50,2,Water,Minion Warrior,{{MC}}{{MC}}: Target attack counts as the first attack this combat.,,{{MC}}{{MC}}: Target attack does not count as the first attack this combat.,,,,1hgXIbVSv2IrBdLV0lcifmj9_ocrazNia,1knkyhfJ6AXC7caZLAg5x1dzeeFuA3_45,,,Blugon,Male,
"Frafdo, The Hero",MI,Super Rare,3,OverWorld,50,70,90,85,55,0,,Hero Warrior,"While you control no other Creatures, Frafdo has an additional 45 Energy.","""Thirty against one? It hardly seems fair... for you."" 
—Frafdo",,,,,0B6oyUfwoM3u1cDBrS21nMkJUSW8,188QDza5svi49Z9b426P8Fj8qf-eXoMr5,1SuCjdcyLaLJJV9HdiXKEDZLolDmkOLdk,,,Male,
Hifdan,SS,Uncommon,3,OverWorld,50,25,35,35,40,0,"Fire, Earth",Scout,"When a Creature you control gains a Mugic counter, Hifdan gains ""Range"" and ""Swift 2"".","Though feared by many for looking like an UnderWorlder, Hifdan is as loyal to Maxxor as they come.",,,,,0B6oyUfwoM3u1Q29abVNyMEhmNEk,1Xw594ZkllKEU0xHWc5QMhv9knbZ3XjqZ,,,,Male,
Hune Marquard,ZOTH,Uncommon,3,OverWorld,40,35,65,50,30,2,,Muge,"When an opposing Creature plays a Danian Mugic, Hune Marquard gains a Mugic counter.","As the foremost authority on Danian Mugic, he works to unlock their mysteries... and how to exploit them.",,,,,0B6oyUfwoM3u1VUR6UnNDTTBmME0,1aou-JtlEC7FMg9RJ1KNHPDZLAHqp4-pe,0B90YZmNLvXOyTVNTeFBvRl8yaWM,,,Male,
Jaidwarl,TOTT,Common,3,OverWorld,45,45,70,30,50,1,Earth,Minion Elementalist,{{MC}}: Target Creature gains all Elemental Types your Creatures have.,,{{MC}}: Target Creature loses all Elemental Types your Creatures have.,,,,0B6oyUfwoM3u1emxHT3NQOWM2SU0,15jrinauQmJ32tKKd4bYIVksSKiiRkWPa,,,,Male,
Khybon's Engineered Automaton,LR,Common,3,UnderWorld,30,50,20,20,40,0,,Taskmaster Warrior,Sacrifice a Battlegear: Target Taskmaster gains 40 to all Disciplines. Use this ability only once per turn.,,,,,,1_JT2OlCyDMz4Xo0fTSoQ09QPXkmM-tXB,1-ZMBIl2ako-Hj83Ksm3wzARfPVP8c5Xj,,,,Ambiguous,Online
Opto,DOP,Promo,3,UnderWorld,70,50,50,40,30,0,Earth,Scout,"At the beginning of combat, Creatures engaged with Scouts you control lose and cannot gain Invisibility.",,,,,,0B6oyUfwoM3u1WGRFLUh4eVRZSzA,135RAfmeZsCvq2J3akxcVuI9m-9wvies7,,,,Male,
Smildon,AU,Super Rare,3,Generic,60,90,35,60,60,2,Earth,Past Warrior Beast,"Defender: Earth
{{MC}}: The active Location loses all abilities.","Though Smildon faced many worthy foes, none was as deadly as ""The Blight!""",,,,,1WQKvG8QzDZNpDlUrBD9dmaaWDQrAVSf-,1aRK_-PI2wpxGvoCI-lIHhJAWlmkg6_hN,1ZoZKcCxtOlYOLdHVlzYAmW19YqQyUQep,,,Male,Starter
Sukoval,OP1,Uncommon,3,OverWorld,30,55,80,55,45,0,Water,Elementalist,Swift 1,"The thin layer of mucus secreted from his pores not only keeps Sukoval warm, but it also allows him to slither on land.",,,,,1g53DR25Ls-Cwr02qD-hTSJ3Jfdd4MRcn,1mmjnaXlrlNfRsU2UFLivz3c93T8Wt4-Z,1bCE9-GML-d5HRQwiGlqEvcdri4m2s65V,,,Male,
Biakan,ROTO,Uncommon,4,OverWorld,55,45,75,40,50,1,"Air, Water",Caretaker Minion,"If an opponent would reveal a new active Location on your turn, instead you reveal a new active Location.",,"When an opposing Creature wins Initiative, reveal the top card of your Location Deck and it becomes the new active Location.",,,,0B6oyUfwoM3u1a2UyLW5HNEVUbEE,1B-E-mXmKfD-teOGTrKGc3LGJ51P6HtwZ,,,,Ambiguous,
Blügon,DOP,Rare,4,OverWorld,35,65,70,45,40,0,Water,Elementalist,Water 5,The Frozen - mysterious creatures who inhabit Glacier Plains - count Blügon as their friend.,,,,,0B6oyUfwoM3u1VXhHYnp6VWRtWTA,153kDX_MIIzzRAbqVRhJiizzg2IxBRLSD,0B90YZmNLvXOyUEFZWVBnRWdPcDg,,Blugon,Male,
Chargola,OP1,Uncommon,4,UnderWorld,75,80,65,50,60,1,,Commander,Recklessness 5,"Though widely renowned for his meticulous planning, Chargola throws all strategies out the window in the heat of the skirmish.",,,,,1A1jUwBNQaFRLy5siRFPZ5ebH1sPG8rWk,1iqBxRwFsXwfHE0JjIqmFlkLokTV7s8C2,1QztTDvAtnC9PEZ9q01_anz0OqIiLs4nf,,,Male,
Grindaald,MI,Common,4,OverWorld,25,35,60,40,35,2,,Caretaker Minion,{{MC}}: Heal 10 damage to target Creature.,,{{MC}}: Heal 10 damage to target Creature and it loses 10 Wisdom.,,,,0B6oyUfwoM3u1alF2NFRZdURjcTQ,1QtA8bOktUKjzJPubE1b-T5_fdE76EmsS,,,,Male,
"Heptadd, 2008 Hawaii Trade Conference",DOP,Promo,4,OverWorld,50,50,50,50,50,1,"Fire, Air, Earth, Water",Guardian Muge,Heptadd may play Mugic of any tribe.,Some in Perim believe that Heptadd knows where the Cothica is.,,1,1,,0B6oyUfwoM3u1QU5NeHJpbEVZamM,1krMtcspw8YTrOwiwg6722zkze8O9WJkw,,,,Male,
"Hune Marquard, Brainwashed Scholar",FUN,Uncommon,4,OverWorld,45,30,70,45,35,2,,Minion Muge,Danians you control may play OverWorld Mugic.,,M'arrillians and Minions you control may not be Infected.,,,,18G7iiUnswkjhFvCs6b95Q2ojClCtNMju,1YFowKckD1HPhqxnk4RuajkDqTZWsLOHf,,,,Male,
Iparu,SS,Ultra Rare,4,OverWorld,25,25,25,25,50,1,"Fire, Air",Elementalist,"At the beginning of combat, Iparu gains or loses Courage, Power, Wisdom and Speed so those values become equal to the opposing engaged Creature's Scanned Courage, Power, Wisdom and Speed.",,,1,1,,0B6oyUfwoM3u1eWs0NkFPaTN6ejg,17EBeeRpC3Xjp6QZweotg-HkkKCWeSDtV,,,,"Ambiguous, Male",
Lomma,ZOTH,Super Rare,4,OverWorld,55,50,60,35,40,2,Water,Guardian,"Defender
Water 5
The first attack against Lomma each combat deals 10 less damage.","After losing her family as a child, Lomma vowed that none would terrorize her tribe again.",,,,,0B6oyUfwoM3u1THdCSXktUVBURFk,11TTVybJBskN5XD8tjX2SgIA1QHaNWPP6,0B90YZmNLvXOyeDhPWndIYkhTblE,,,Female,
"Olkiex, Driver Extraordinaire",TOTT,Uncommon,4,OverWorld,65,50,40,35,55,1,Fire,Strategist,"When Olkiex plays an Attack Card while equipped, it gains 5 Energy.","It only took six straight Prototype Demolition Field victories for Bodal to acknowledge that Olkiex was a ""capable"" driver.",,,,,0B6oyUfwoM3u1VC0xV1FjWVhEeG8,1XhZHhwEv6rRGSxqyBYZxVZKiGMF5n20E,,,,Male,
"Ulmar, Wavescrambler",LR,Rare,4,UnderWorld,35,55,65,65,30,0,Fire,Conqueror,"Minions may not play activated abilities if their controller also controls a Chieftain.
Ulmar may not be the target of Mugic.",,,,,,1XkoFHw1vTX33e6WaMUIkR32Y1YijC_kU,1ab3iPgtsQZjN4QSloAz9IjszcIosQ0gC,,,,Male,Online
Ursis,AU,Ultra Rare,4,Generic,60,85,45,45,80,3,Earth,Past Warrior Muge,,"Though Ursis appears ferocious, in realty, he is much fiercer than you can imagine.",,,,,1O961M4OCDAL0pnz9D9YItpi9HjYF-pVc,1z8oWm7JCjgscqKbv_tfsPjuG4r7DA4wQ,1QdhHP3A72oGaGCIcWByKt-kQIdkyJjgW,,,Male,Starter
Afjak,AU,Rare,5,OverWorld,80,40,65,30,30,2,Water,Past Muge,Sacrifice Afjak: Put a Mugic counter on target Creature you control.,Najarin's apprentice was his proudest success... and his greatest sadness.,,,,,142-beEzjnzxd_J5uY3R2y2Fyn_pL6dJL,1bLaYVFX__g66X3ul9XmN2UU_38gHMPeh,1qG8fuMz0sZb7P5_pR1KfEVnEOwLC4NWl,,,Male,Starter
Bodal,DOP,Common,5,OverWorld,40,40,80,60,45,1,,Caretaker,Support: Wisdom 5,The trouble with Bodal is that Bodal is troubled.,,,,,0B6oyUfwoM3u1OHM3UWFYUUJDOEE,1IpE0-Anmq7RZfjMb659sfG4PEGallQkK,0B90YZmNLvXOyLW1iOU1weHpveVk,,,Male,
Dyrtax,OP1,Common,5,UnderWorld,35,60,45,65,45,1,,Scout,Swift 1,Treasure hunters constantly try to steal valuable crystals at Jade Pillar. Dyrtax makes sure they don't get too greedy.,,,,,19oW4tFY-6Chzz8StRgODk-4ZyCh_GmI9,1IBW1oIvYzYyt_U7L4h2BTdF8Iy9c0Sff,,,,Male,
Gimwei,ROTO,Rare,5,OverWorld,70,40,85,35,60,1,"Fire, Air",Minion Elementalist,"Fire 5
When Gimwei is dealt 20 or more damage from a single source, deal 5 damage to target Creature.",,"Outperform Wisdom 5
When Gimwei deals 20 or more damage with a single attack, it gains 20 to all Disciplines",,,,1MlLOKVpataJ4tzAdiibKRrawRQXYf7JF,1gL2wO2nxXN1gQ5Itp34rPumELwXOsxGs,,,,Male,
Gronmor,MI,Super Rare,5,OverWorld,75,50,80,50,60,0,"Fire, Earth, Water",Guardian Minion,"Support: All Disciplines 5
Fire 5",,"Support: Energy 5
Outperform Wisdom 5",,,,0B6oyUfwoM3u1UUpIRE4xaGJaTVE,1ww_2X9Y6MEGOuAfx73wQOXDQUUVWPWKE,,,,Male,
Kalt,SS,Common,5,OverWorld,55,30,35,40,40,2,Water,Elementalist Muge,"{{MC}}: Another target Creature gains an Elemental Type of your choice. If that Creature is an Elementalist, it also gains a Mugic counter. This ability can only be used once per turn.
",,,,,,0B6oyUfwoM3u1SXRyNWlkVDI4VWc,1GFcZYziGKN4JlXQowOYX53WBe7vd3VoN,,,,Male,
Loderool,FUN,Common,5,OverWorld,65,70,50,30,55,0,"Fire, Earth",Warrior,"While you control an UnderWorlder, Loderool has ""Fire 5.""","""This alliance changes nothing! I've still never met an UnderWorlder that I liked!""",,,,,1Ov3oxIkdDmMnUMqnZEy_S9oTk8p8ASqi,1MUETD2KfSfFYh2YNU1QqlIB9hEa34rYC,,,,Male,
Nukasai,LR,Rare,5,Danian,70,45,60,35,50,1,,Battlemaster Minion,"{{MC}}: Uninfect all opposing Creatures. For each Creature Uninfected this way, Infect an Uninfected Creature you control.",,"{{MC}}: Uninfect all Creatures you control. For each Creature Uninfected this way, Infect an opposing Uninfected Creature.",,,,1CorX4BIoI3syBac4VtnIudoNvqNXFhGh,1fYvEf-zqEtFCdS3j43hBLPQ0oBw8QN-O,,,,Male,Online
"Prince Mudeenu, Champion of the Guard",MI,Promo,5,Mipedian,85,40,20,80,55,0,Air,Royal Warrior,"Mipedians you control have ""Invisibility: Surprise.""","""You can either surrender or die... and I won't accept your surrender."" 
—Prince Mudeenu",,1,,,0B6oyUfwoM3u1NkZBX1dhX0FTMEk,1OQApprGq_JKvO3GvK7nbT57XAxqXR4Kg,,,,Male,
"Raznus, Ambassador to the Danians",ZOTH,Super Rare,5,OverWorld,60,20,70,40,40,0,"Earth, Water",Ambassador,"Danian Creatures you control may play OverWorld Mugic.
Fireproof 10",Raznus yearned to forge an alliance. The Danians had other ideas.,,1,,,0B6oyUfwoM3u1djNyVms2TV9hMEk,1jl-URl3tQltY-xpSFhVWQLcDJ719p769,0B90YZmNLvXOyc281SHU0LWRfT2c,,,Male,
Yterio,TOTT,Super Rare,5,Mipedian,80,60,40,50,55,1,Earth,Warrior,Sacrifice Yterio: Target attack deals 0 damage.,"""You can't save everyone. But if you save just one, he will save another, and he another, until everyone is saved.""",,1,,,0B6oyUfwoM3u1NjVDWHFaWHdEWGM,1ThvD9q_RpdM8wsMXrxLCbrEsE50xkbzc,,,,Male,
"Arrthoa, Captain of the Ezoa",AU,Rare,6,OverWorld,70,45,70,60,50,1,Water,Hero Scout,Your other Creatures with Water succeed on all Discipline checks on attacks they play.,"""Avast me hearties! Come about, hard starboard! The citadel is taking flight!""",,,,,1nwAc7BUTLK_I0NwrL1-0tipveKw-18QG,1cULvEPl30VZuKIRYfBtAaSPMo7u0KMef,,,,Male,
Crawsectus,DOP,Super Rare,6,OverWorld,60,45,40,25,50,0,"Earth, Water",Elementalist,Earth 5,His hard exterior hides an even harder interior.,,,,,0B6oyUfwoM3u1Y0hMOTlCak9TLWM,1kXy5kYyOdrHnZ6rlvZK8FLlTe3wzUs7v,0B90YZmNLvXOyRXpTcUhnWG5KUFU,,,Male,
"Gazarbash, Infecting Terraformer",LR,Uncommon,6,Danian,70,35,45,45,45,2,Water,Squadleader,Uninfect three Infected Creatures: Reveal a new active Location.,,,,,,1tQM3rRj3Ha-y6wA_qsFmaTDf3fJCLItq,1BZz4QPp1VZzvcldoR7c4_iH4NZ0UtsuW,,,,Male,Online
Geltod,ZOTH,Common,6,UnderWorld,45,70,45,40,45,1,,Muge,Discard an UnderWorld Mugic Card: Deal 5 damage to target Creature.,"Ah-choo! Oh, gross! I just 'geltodded' into my hands.",,,,,0B6oyUfwoM3u1OVNSejVjR1NNZlU,1maJkt894VKvcDDFOQVdt9x8wM4g4lqIW,0B90YZmNLvXOyVmh6ZG5iSEYyV1k,,,"Ambiguous, Male",
Getterek,OP1,Super Rare,6,UnderWorld,50,95,25,45,60,0,Fire,Taskmaster,Intimidate: Power 10,It is recommended that you pay the toll before you cross the bridge.,,,,,1oDPUIYq0-HsTYiyO_iFvr9NyzP0j_4VT,1kg9lT1SbS3MfKJevpD8Ep9CQwqZHqOp2,,,,Male,
Hune Paltanin,ROTO,Super Rare,6,OverWorld,75,15,110,15,40,2,,Caretaker,"When a Mugic counter is removed from an opposing non‐OverWorld Creature, heal 10 damage to target Creature.","She is rarely seen outside the Library, but Maxxor needs all the help he can get.",,1,1,,0B6oyUfwoM3u1a1Z2bE5jSVY0bEU,1BBERpzzCrl1eoo2PK7BBnpMNaBx1U0hy,,,,Female,
"Ikkatosh, Guardian of Nature",MI,Rare,6,OverWorld,45,35,85,60,55,1,"Fire, Water",Elementalist,"When a Muge or Elementalist you control wins combat, it gains a Mugic counter.","Having lived for ages, Ikkatosh vaguely remembers the last time the Doors were open. It did not end well.",,,1,,0B6oyUfwoM3u1aVcxM3FIYkdid1k,1yIY1s0FxsI_mnoc75ffuDVUtk1P_QRJk,1KgBJrY4YffNrmKtrr7AqJT74V3S3uZ0G,,,"Ambiguous, Male",
Karraba,SS,Super Rare,6,OverWorld,60,30,40,40,35,3,,Muge,{{MC}}: Heal 10 damage to target Creature for each Mugic counter on Karraba. This ability can only be used once per turn.,,,,,,0B6oyUfwoM3u1ZlAzZkNwTmJidzg,1PHZQ-ZhU79FtlvIPAXOlA0dzGi__dwRp,,,,Male,
"Maxxor, Protector of Perim",FUN,Ultra Rare,6,OverWorld,110,55,80,45,55,0,"Fire, Earth",Hero Warrior,"When Maxxor is dealt attack damage, it gains ""Maxxor deals an additional 5 attack damage.""","""I don't just fight for the OverWorld! I fight for all of Perim!""",,1,1,,1DAoHEqM_ocfsBLiD49uUI2VVNMvmM5Az,1LqGcEGDGPVr7Uvk99agNDQ4NKppvSxdW,1h2cANPCs5p2yxu4e4Z0gGMb3XyGOgm_h,,,Male,
Part'soa,TOTT,Uncommon,6,M'arrillian,30,35,80,40,45,0,Water,Fluidmorpher,"Fluidmorph
{{MC}}{{MC}}: Target Creature loses 20 to all Disciplines.","As the water rises inch by inch, Part'soa knows that victory is one step closer.",,,,,0B6oyUfwoM3u1ckxRUDJMWUFoazQ,1HZ5spEte6d35Z6dT7oMTk2A9TeNaiWqa,,,Part soa partsoa,Male,
Abin-wor,LR,Common,7,Mipedian,25,30,55,45,30,1,Earth,Conjuror,"Reduce Recklessness damage dealt to Warbeasts you control by 5.
Warbeasts you control have ""Waterproof 25.""",,,,,,1TDAW0JP3TLn5UyhMjzsLMgoy9-D_i24f,1tjDMss7dVbske6qmWaEQLT5Pxn7z9VYR,,,abin wor abinwor,Male,Online
Aimukk,OP1,Common,7,Danian,75,50,20,30,35,0,Earth,Mandablor,,What Aimukk lacks in strength he more than makes up for in willpower.,,,,,10g1j8KUvd65FtYUDeYkx-OeJHfYgxqSE,1CRKEIapOwXHkHoQLXfmioGJBlPrpSWCq,1r3STu4zs7i7jnciNAUbB0OtoHRMZ9ENi,,,Male,
"Blazier, Citadel Cartographer",AU,Rare,7,OverWorld,70,40,60,40,40,1,Earth,Scout,Expend Earth: Look at the top card of your Location Deck. You may put that card on the bottom of that deck.,Blazier strives to be the first to discover new lands. History doesn't care about whoever comes second.,,,,,1v_5zu49qO_FMkzjWOAz8_2IztgSzR2Bm,1o3J95HTWMO-8ShtsajQ1miez6nym7cAz,1QAMqv-L0bFahxUhlTYxkqffajvwSMQxj,,,Male,
Donmar,DOP,Rare,7,OverWorld,45,65,65,50,45,2,,Caretaker,{{MC}}: Heal 10 damage to target Creature.,Deciphering the Runic Grove’s mysterious markings is Donmar’s devotion... and the likely cause of his dementia.,,,,,0B6oyUfwoM3u1cjlfNzNjQlV0ZHc,1W-MxvzXim-Ku1BiJLHIXVijWvaCpCp3T,0B90YZmNLvXOyMllHa3M3eXRjejA,,,Male,Starter
Hammerdoom Chantcaller,ZOTH,Ultra Rare,7,UnderWorld,50,55,40,55,65,1,Fire,Warrior,"Attacks played by Hammerdoom Chantcaller deal an additional 5 damage to Danian Creatures. If Hive is active, attacks played by Hammerdoom Chantcaller deal an additional 5 damage to Underworld Creatures instead.",,,1,,,0B6oyUfwoM3u1Tkc2Ukc0eHR5REk,1laO_fMsyPq-Ib63zqSbDutjQ4sOM7UhF,0B90YZmNLvXOya2hHNDBGR0NJSW8,,,Male,
